2025-12-25 11:08:43 [INFO    ]: Starting TShark worker. (main.py:112)
2025-12-25 11:08:43 [INFO    ]: TShark process started successfully. (main.py:121)
2025-12-25 11:08:44 [INFO    ]: Flushing buffers... (main.py:90)
2025-12-25 11:08:45 [INFO    ]: Buffers flushed successfully. (main.py:97)
2025-12-25 11:08:45 [INFO    ]:          92033 function calls (91179 primitive calls) in 0.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  119/117    0.007    0.000    0.688    0.006 /home/kali/PycharmProjects/tShark/wifi_monitor.py:306(update_tree)
      117    0.005    0.000    0.553    0.005 /home/kali/PycharmProjects/tShark/wifi_monitor.py:324(refresh_status)
      117    0.002    0.000    0.343    0.003 /home/kali/PycharmProjects/tShark/utils.py:248(get_wlan_mode)
      117    0.004    0.000    0.340    0.003 /usr/lib/python3.13/subprocess.py:512(run)
      117    0.010    0.000    0.192    0.002 /usr/lib/python3.13/subprocess.py:817(__init__)
      2/1    0.001    0.000    0.161    0.161 /home/kali/PycharmProjects/tShark/main.py:88(flush_buffers)
      117    0.002    0.000    0.137    0.001 /usr/lib/python3.13/subprocess.py:1178(communicate)
      117    0.013    0.000    0.132    0.001 /usr/lib/python3.13/subprocess.py:2075(_communicate)
      351    0.001    0.000    0.115    0.000 {built-in method builtins.next}
  235/116    0.007    0.000    0.100    0.001 /usr/lib/python3.13/queue.py:177(get)
      241    0.003    0.000    0.088    0.000 /usr/lib/python3.13/selectors.py:385(select)
      241    0.084    0.000    0.084    0.000 {method 'poll' of 'select.poll' objects}
      117    0.004    0.000    0.065    0.001 /usr/lib/python3.13/subprocess.py:1808(_execute_child)
      117    0.001    0.000    0.062    0.001 /home/kali/PycharmProjects/tShark/wifi_monitor.py:310(<genexpr>)
      514    0.001    0.000    0.061    0.000 /usr/lib/python3.13/tkinter/ttk.py:1354(item)
      514    0.002    0.000    0.060    0.000 /usr/lib/python3.13/tkinter/ttk.py:279(_val_or_dict)
      117    0.002    0.000    0.051    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:867(new_fork_exec)
      514    0.006    0.000    0.048    0.000 /usr/lib/python3.13/tkinter/__init__.py:131(_splitdict)
      117    0.008    0.000    0.043    0.000 /usr/lib/python3.13/os.py:657(get_exec_path)
     2570    0.006    0.000    0.042    0.000 /usr/lib/python3.13/tkinter/ttk.py:313(_tclobj_to_py)
     1631    0.040    0.000    0.041    0.000 {method 'call' of '_tkinter.tkapp' objects}
     3568    0.034    0.000    0.034    0.000 /usr/lib/python3.13/tkinter/ttk.py:295(_convert_stringval)
      117    0.034    0.000    0.034    0.000 {built-in method _posixsubprocess.fork_exec}
      118    0.003    0.000    0.029    0.000 /usr/lib/python3.13/threading.py:327(wait)
      234    0.022    0.000    0.026    0.000 /usr/lib/python3.13/os.py:712(__getitem__)
      117    0.002    0.000    0.022    0.000 /usr/lib/python3.13/tkinter/__init__.py:851(after)
      117    0.001    0.000    0.019    0.000 /home/kali/PycharmProjects/tShark/wifi_monitor.py:369(set_button_properties)
     2574    0.004    0.000    0.019    0.000 /usr/lib/python3.13/subprocess.py:1897(<genexpr>)
      117    0.001    0.000    0.018    0.000 /usr/lib/python3.13/tkinter/__init__.py:1818(configure)
      117    0.002    0.000    0.017    0.000 /usr/lib/python3.13/tkinter/__init__.py:1805(_configure)
      117    0.013    0.000    0.015    0.000 /usr/lib/python3.13/tkinter/__init__.py:1686(_register)
      117    0.012    0.000    0.012    0.000 {built-in method time.sleep}
      117    0.001    0.000    0.011    0.000 /usr/lib/python3.13/tkinter/__init__.py:4021(replace)
      117    0.002    0.000    0.011    0.000 /usr/lib/python3.13/subprocess.py:1704(_get_handles)
     2457    0.006    0.000    0.010    0.000 /usr/lib/python3.13/posixpath.py:72(join)
      117    0.001    0.000    0.009    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:976(send_process_created_message)
      117    0.003    0.000    0.009    0.000 /usr/lib/python3.13/subprocess.py:1298(_close_pipe_fds)
      117    0.001    0.000    0.009    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/pydevd.py:2020(send_process_created_message)
      175    0.002    0.000    0.008    0.000 /usr/lib/python3.13/queue.py:137(put)
      117    0.000    0.000    0.008    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py:377(add_command)
      117    0.001    0.000    0.007    0.000 /usr/lib/python3.13/warnings.py:170(simplefilter)
      234    0.002    0.000    0.007    0.000 /usr/lib/python3.13/selectors.py:340(register)
      468    0.005    0.000    0.007    0.000 {built-in method posix.read}
      351    0.001    0.000    0.007    0.000 /usr/lib/python3.13/subprocess.py:1275(wait)
      117    0.005    0.000    0.006    0.000 /usr/lib/python3.13/warnings.py:188(_add_filter)
      117    0.002    0.000    0.006    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py:366(patch_args)
      351    0.001    0.000    0.006    0.000 /usr/lib/python3.13/subprocess.py:2034(_wait)
      234    0.006    0.000    0.006    0.000 {built-in method _io.open}
      409    0.002    0.000    0.005    0.000 /usr/lib/python3.13/threading.py:398(notify)
      234    0.002    0.000    0.005    0.000 /usr/lib/python3.13/selectors.py:238(register)
      468    0.005    0.000    0.005    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      636    0.001    0.000    0.005    0.000 /usr/lib/python3.13/tkinter/ttk.py:1437(set)
     2574    0.003    0.000    0.005    0.000 /usr/lib/python3.13/os.py:844(fsencode)
     8932    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
      351    0.004    0.000    0.004    0.000 {built-in method posix.pipe}
